Wall time,Step,Value
1776246390.7523813,300,-0.30000001192092896
1776246390.962116,406,-1.1060000658035278
1776246391.5640213,706,-0.30000001192092896
1776246392.1689334,1006,-0.30000001192092896
1776246392.8767893,1306,-0.30000001192092896
1776246393.4829519,1606,-0.30000001192092896
1776246394.070701,1906,-0.30000001192092896
1776246396.256202,2206,-0.30000001192092896
1776246399.2207534,2506,-0.30000001192092896
1776246402.3691587,2806,-0.30000001192092896
1776246404.640057,3054,-1.2480000257492065
1776246407.2963533,3354,-0.30000001192092896
1776246410.225466,3654,-0.30000001192092896
1776246413.0868185,3954,-0.30000001192092896
1776246415.8138266,4254,-0.30000001192092896
1776246417.7050667,4470,-1.2160000801086426
1776246420.395917,4770,-0.30000001192092896
1776246423.112309,5070,-0.30000001192092896
1776246423.8529222,5145,-1.0750000476837158
1776246424.4100482,5209,-1.0640000104904175
1776246427.1200845,5509,-0.30000001192092896
1776246429.7484703,5809,-0.30000001192092896
1776246432.3809185,6109,-0.30000001192092896
1776246435.093555,6409,-0.30000001192092896
1776246437.9847736,6709,-0.30000001192092896
1776246440.636286,7009,-0.30000001192092896
1776246442.2395155,7186,-1.1770000457763672
1776246442.7573638,7241,-1.0550000667572021
1776246443.965337,7365,-1.124000072479248
1776246445.0025353,7474,-1.1090000867843628
1776246447.9880877,7774,-0.30000001192092896
1776246450.7374477,8074,-0.30000001192092896
1776246452.1197538,8241,-1.1670000553131104
1776246453.5811117,8392,-1.1510000228881836
1776246454.5897748,8496,-1.1040000915527344
1776246455.1608171,8567,1.928999900817871
1776246456.396988,8706,-1.1390000581741333
1776246459.2527297,9006,-0.30000001192092896
1776246461.862882,9293,-1.287000060081482
1776246463.5123138,9477,-1.184000015258789
1776246466.3391004,9777,-0.30000001192092896
1776246469.1957557,10077,-0.30000001192092896
1776246471.9534523,10377,-0.30000001192092896
1776246472.802854,10475,-1.0980000495910645
1776246475.7528634,10775,-0.30000001192092896
1776246478.5678566,11075,-0.30000001192092896
1776246481.3061757,11375,-0.30000001192092896
1776246482.477955,11507,-1.1320000886917114
