Wall time,Step,Value
1776251557.6100764,176,-1.1759999990463257
1776251557.7129934,219,-1.0430001020431519
1776251557.8240662,269,-1.0500000715255737
1776251558.1024418,409,-1.1400001049041748
1776251558.2670746,490,-1.0810000896453857
1776251558.3209367,520,1.96999990940094
1776251558.5833974,645,-1.125
1776251558.808006,735,-1.090000033378601
1776251558.9633276,820,-1.0850000381469727
1776251559.2244716,955,-1.1350001096725464
1776251559.5820792,1145,-1.190000057220459
1776251559.7310812,1217,-1.0720000267028809
1776251559.8315692,1266,-1.0490000247955322
1776251559.9602942,1332,-1.0660001039505005
1776251560.0913386,1403,-1.071000099182129
1776251560.2422774,1481,-1.0780000686645508
1776251560.6690946,1703,-1.222000002861023
1776251560.8103495,1767,-1.0640000104904175
1776251560.9337213,1826,-1.059000015258789
1776251561.0755024,1912,-1.0860000848770142
1776251562.4927726,2105,-1.193000078201294
1776251562.6046736,2170,-1.065000057220459
1776251562.8610117,2311,-1.1410000324249268
1776251563.0686452,2428,-1.1170001029968262
1776251563.6245406,2728,-0.30000001192092896
1776251563.90689,2879,-1.1510000228881836
1776251564.1165338,2990,-1.1110000610351562
1776251564.2902768,3077,-1.0870000123977661
1776251564.6740408,3280,-1.2030000686645508
1776251565.2473693,3580,-0.30000001192092896
1776251565.6669247,3791,-1.2110000848770142
1776251565.7999473,3862,-1.071000099182129
1776251566.0429592,3974,-1.1120001077651978
1776251566.1799138,4047,-1.0730000734329224
1776251567.236033,4161,-1.1140000820159912
1776251567.7946813,4461,-0.30000001192092896
1776251568.1041622,4630,-1.1690000295639038
1776251568.2255077,4697,-1.0670000314712524
1776251568.3649905,4770,-1.0730000734329224
1776251568.648068,4907,-1.1370000839233398
1776251569.0389163,5118,-1.2110000848770142
1776251569.1241941,5169,-1.0509999990463257
1776251569.235726,5227,-1.058000087738037
1776251569.364005,5296,-1.069000005722046
1776251569.493351,5370,-1.0740000009536743
1776251569.7343667,5496,-1.1260000467300415
1776251569.811315,5538,1.9579999446868896
1776251570.375865,5838,-0.30000001192092896
1776251570.6881092,5992,-1.1540000438690186
1776251570.9743483,6138,-1.1460000276565552
1776251571.9327707,6206,-1.068000078201294
1776251572.0982707,6300,-1.0940001010894775
1776251572.33973,6430,-1.1299999952316284
1776251572.5664423,6544,-1.1140000820159912
1776251572.728224,6631,-1.0870000123977661
1776251572.9636068,6766,-1.1350001096725464
1776251573.1461,6864,-1.0980000495910645
1776251573.2820804,6932,1.931999921798706
1776251573.4153104,7003,-1.071000099182129
1776251573.5397706,7072,-1.069000005722046
1776251573.788791,7198,-1.1260000467300415
1776251574.1239665,7360,-1.162000060081482
1776251574.2182133,7417,-1.0570000410079956
1776251574.3547843,7489,-1.0720000267028809
1776251574.4991636,7568,-1.0789999961853027
1776251574.8670583,7755,-1.187000036239624
1776251575.0700624,7854,-1.099000096321106
1776251575.2258117,7919,-1.065000057220459
1776251575.5508273,8039,-1.1200000047683716
1776251575.72742,8099,-1.0600000619888306
1776251575.8555207,8152,-1.0530000925064087
1776251576.950986,8228,-1.0760000944137573
1776251577.1524239,8329,-1.1010000705718994
1776251577.2773561,8393,-1.0640000104904175
1776251577.9373693,8693,-0.30000001192092896
1776251578.0849717,8741,-1.0480000972747803
1776251578.410059,8871,-1.1299999952316284
1776251578.575158,8931,-1.0600000619888306
1776251578.7098117,8993,-1.062000036239624
1776251578.8636255,9064,-1.071000099182129
1776251579.0268362,9134,-1.0700000524520874
1776251579.2639334,9243,-1.1090000867843628
1776251579.4272957,9311,-1.068000078201294
1776251579.5601707,9392,-1.0810000896453857
1776251579.8694546,9524,-1.1320000886917114
1776251580.0912569,9618,-1.0940001010894775
1776251580.2556877,9709,-1.0910000801086426
1776251580.5132337,9893,-1.184000015258789
1776251580.7085295,10027,-1.1340000629425049
1776251580.8274815,10112,-1.0850000381469727
1776251580.935148,10166,-1.0540000200271606
1776251582.2600937,10284,-1.1180000305175781
1776251582.5841203,10388,-1.1040000915527344
1776251582.7143462,10436,-1.0480000972747803
1776251582.9051642,10519,-1.0830000638961792
1776251583.226812,10650,-1.13100004196167
1776251583.3268144,10698,-1.0480000972747803
1776251583.5028017,10774,-1.0760000944137573
1776251583.6195514,10830,-1.055999994277954
1776251583.874515,10965,-1.1350001096725464
1776251583.9758072,11017,-1.0520000457763672
1776251584.3681636,11166,-1.1490000486373901
1776251584.783521,11364,-1.1980000734329224
1776251584.98617,11439,-1.0750000476837158
1776251585.3385348,11567,-1.128000020980835
1776251585.5769746,11681,-1.1140000820159912
1776251585.9865253,11837,1.843999981880188
1776251586.2994103,11961,-1.124000072479248
1776251586.434499,12026,-1.065000057220459
1776251586.566176,12112,-1.0860000848770142
1776251586.8341148,12242,-1.1299999952316284
1776251587.9438925,12371,-1.1290000677108765
1776251588.2339287,12482,-1.1110000610351562
1776251588.410401,12545,-1.0630000829696655
1776251588.5323935,12602,-1.0570000410079956
1776251588.6737666,12650,-1.0480000972747803
1776251588.8865638,12749,-1.099000096321106
1776251589.0267587,12823,-1.0740000009536743
1776251589.133379,12881,-1.058000087738037
1776251589.2502484,12936,-1.0550000667572021
1776251589.412728,13015,-1.0789999961853027
1776251589.5613875,13056,1.9589999914169312
1776251589.796125,13128,-1.0720000267028809
1776251590.0751772,13209,-1.0810000896453857
1776251590.2257462,13270,-1.061000108718872
1776251590.4628842,13410,1.8599998950958252
1776251590.6125016,13507,-1.097000002861023
1776251590.7296915,13583,-1.0760000944137573
1776251590.9823472,13711,-1.128000020980835
1776251591.1681497,13795,-1.0839999914169312
1776251591.3968432,13879,-1.0839999914169312
1776251591.5329764,13947,-1.068000078201294
1776251591.741693,14040,-1.093000054359436
1776251591.9452963,14135,-1.0950000286102295
1776251592.0908625,14212,-1.0770000219345093
1776251593.3873217,14346,-1.1340000629425049
1776251593.9033906,14570,-1.224000096321106
1776251594.1474504,14641,-1.071000099182129
1776251594.342058,14692,-1.0509999990463257
1776251594.5819478,14764,-1.0720000267028809
1776251594.7701168,14843,-1.0789999961853027
1776251594.8609917,14901,-1.058000087738037
1776251594.9658158,14946,-1.0450000762939453
1776251595.1240976,15009,-1.0630000829696655
1776251595.4368458,15173,-1.1640000343322754
1776251595.5488977,15249,-1.0760000944137573
1776251595.7808616,15353,-1.1040000915527344
1776251595.9502432,15398,-1.0450000762939453
1776251596.1809633,15500,-1.1019999980926514
1776251596.9426286,15643,-1.1430000066757202
1776251597.3374422,15748,-1.1050000190734863
1776251597.7310798,15892,-1.1440000534057617
1776251597.9057212,15990,-1.0980000495910645
1776251598.1045983,16062,-1.0720000267028809
1776251598.8157125,16278,-1.2160000801086426
1776251599.3668153,16379,-1.1010000705718994
1776251600.8585331,16651,-1.2720000743865967
1776251600.9865398,16714,-1.0630000829696655
1776251601.1866937,16805,-1.0910000801086426
1776251601.368754,16903,-1.0980000495910645
1776251601.604758,17044,-1.1410000324249268
1776251601.7019045,17091,-1.0470000505447388
1776251601.9907653,17232,-1.1410000324249268
1776251602.508254,17532,-0.30000001192092896
1776251602.6608028,17623,-1.0910000801086426
1776251602.9348722,17770,-1.1470000743865967
1776251603.1607058,17902,-1.1320000886917114
1776251603.2432,17948,-1.0460000038146973
1776251603.3575826,18000,-1.0520000457763672
1776251603.479165,18049,-1.0490000247955322
1776251603.7250745,18159,-1.1100000143051147
1776251603.8388665,18232,-1.0730000734329224
1776251604.0720108,18323,-1.0910000801086426
1776251604.2464676,18387,-1.0640000104904175
1776251605.362214,18514,-1.127000093460083
1776251605.564812,18570,-1.055999994277954
1776251605.7949414,18631,-1.061000108718872
1776251606.001232,18695,-1.0640000104904175
1776251606.243489,18778,-1.0830000638961792
1776251606.5314627,18883,-1.1050000190734863
1776251606.7062113,18988,-1.1050000190734863
1776251606.8605962,19065,-1.0770000219345093
1776251607.0428934,19162,-1.097000002861023
1776251607.1918423,19226,-1.0640000104904175
