Wall time,Step,Value
1776251562.3903084,2048,-0.9456000328063965
1776251567.0979052,4096,-1.0357500314712524
1776251571.8111503,6144,-0.8779000639915466
1776251576.8667946,8192,-0.9473000764846802
1776251582.0565279,10240,-1.050700068473816
1776251587.7738738,12288,-0.9538000226020813
1776251593.3524854,14336,-0.780500054359436
1776251600.339486,16384,-1.1016499996185303
1776251605.1662087,18432,-1.0662500858306885
1776251610.483812,20480,-0.9390500783920288
1776251615.2899246,22528,-0.9630000591278076
1776251620.1641066,24576,-0.969700038433075
1776251624.9566884,26624,-0.6454000473022461
1776251630.7506292,28672,-0.7701500654220581
1776251636.434272,30720,-0.8375000357627869
1776251641.7567534,32768,-1.1171000003814697
1776251646.857978,34816,-1.1126500368118286
1776251652.153903,36864,-1.064750075340271
1776251657.307912,38912,-0.9713500738143921
1776251662.2745664,40960,-1.086300015449524
1776251667.0543025,43008,-0.9727500677108765
1776251671.927787,45056,-1.0570000410079956
1776251676.7210643,47104,-1.057050108909607
1776251681.8587062,49152,-1.1068000793457031
1776251686.8180387,51200,-0.7315500378608704
1776251691.616951,53248,-0.6287000775337219
1776251696.41698,55296,-1.1274501085281372
1776251701.3729131,57344,-0.8155500292778015
1776251706.295646,59392,-1.0106500387191772
1776251711.1646974,61440,-0.9884500503540039
1776251716.1836815,63488,-1.0740000009536743
1776251721.0511649,65536,-0.9202500581741333
1776251725.9571621,67584,-0.9206000566482544
1776251730.8371737,69632,-0.9227500557899475
1776251735.928705,71680,-0.9721500277519226
1776251741.3947747,73728,-1.1094000339508057
1776251746.0253031,75776,-1.1055001020431519
1776251751.8696923,77824,-1.1172000169754028
1776251756.659347,79872,-1.0936501026153564
1776251761.3422086,81920,-0.8166500329971313
1776251766.082981,83968,-1.106850028038025
1776251770.7232392,86016,-1.1187000274658203
1776251775.4112356,88064,-0.9379000663757324
1776251780.08838,90112,-1.1255000829696655
1776251784.786172,92160,-0.9154000282287598
1776251789.4744108,94208,-1.0855000019073486
1776251794.0527248,96256,-0.791100025177002
1776251798.658036,98304,-1.0807501077651978
1776251802.9134967,100000,-1.1177500486373901
