Wall time,Step,Value
1776250125.6879094,300,-0.30000001192092896
1776250126.2903905,600,-0.30000001192092896
1776250126.887458,900,-0.30000001192092896
1776250127.4908047,1200,-0.30000001192092896
1776250128.0926085,1500,-0.30000001192092896
1776250128.6952543,1800,-0.30000001192092896
1776250130.56516,2100,-0.30000001192092896
1776250133.5938401,2400,-0.30000001192092896
1776250137.210465,2700,-0.30000001192092896
1776250140.2028913,3000,-0.30000001192092896
1776250142.863876,3300,-0.30000001192092896
1776250145.4327846,3600,-0.30000001192092896
1776250146.2491913,3699,-1.099000096321106
1776250148.8908086,3999,-0.30000001192092896
1776250151.5597975,4299,-0.30000001192092896
1776250154.1077554,4599,-0.30000001192092896
1776250156.7685685,4899,-0.30000001192092896
1776250159.8670306,5199,-0.30000001192092896
1776250162.439112,5499,-0.30000001192092896
1776250163.7170193,5651,-1.152000069618225
1776250166.5395625,5951,-0.30000001192092896
1776250169.514305,6251,-0.30000001192092896
1776250171.2444725,6423,-1.1720000505447388
1776250174.1434326,6723,-0.30000001192092896
1776250175.9935496,6942,-1.2190001010894775
1776250176.8465006,7048,-1.1060000658035278
1776250178.2062714,7208,-1.1600000858306885
1776250180.9312909,7508,-0.30000001192092896
1776250183.747851,7808,-0.30000001192092896
1776250186.6508443,8108,-0.30000001192092896
1776250189.9151182,8408,-0.30000001192092896
1776250192.8419178,8708,-0.30000001192092896
1776250195.4611483,9008,-0.30000001192092896
1776250197.9027328,9282,-1.2740000486373901
1776250200.5144587,9582,-0.30000001192092896
1776250203.1501641,9882,-0.30000001192092896
1776250205.8628533,10182,-0.30000001192092896
1776250208.52595,10438,-1.25600004196167
1776250211.5456085,10738,-0.30000001192092896
1776250214.37612,11038,-0.30000001192092896
1776250217.5715249,11338,-0.30000001192092896
1776250218.5005748,11425,-1.0870000123977661
1776250221.1742737,11681,-1.25600004196167
1776250222.091729,11768,-1.0870000123977661
1776250225.227625,12068,-0.30000001192092896
1776250228.0296555,12368,-0.30000001192092896
1776250230.7236586,12668,-0.30000001192092896
1776250233.4874527,12968,-0.30000001192092896
1776250233.9100182,13017,-1.0490000247955322
1776250236.7832706,13317,-0.30000001192092896
1776250239.6419103,13617,-0.30000001192092896
1776250241.0007305,13761,-1.1440000534057617
1776250244.1707437,14061,-0.30000001192092896
1776250245.171397,14151,-1.090000033378601
1776250248.2425795,14451,-0.30000001192092896
1776250249.1924658,14537,-1.0860000848770142
1776250252.4754202,14837,-0.30000001192092896
1776250255.431805,15137,-0.30000001192092896
1776250257.047048,15294,-1.1570000648498535
1776250259.272842,15494,-1.2000000476837158
1776250260.8631778,15635,-1.1410000324249268
1776250264.1831343,15935,-0.30000001192092896
1776250264.7212152,15985,-1.0500000715255737
1776250267.9841704,16285,-0.30000001192092896
1776250269.96482,16488,-1.2030000686645508
1776250273.2439394,16788,-0.30000001192092896
1776250274.5786712,16926,-1.1380000114440918
1776250277.426739,17226,-0.30000001192092896
1776250280.0870805,17526,-0.30000001192092896
1776250280.7451184,17604,-1.0780000686645508
1776250281.6768696,17699,1.9049999713897705
1776250284.6436057,17999,-0.30000001192092896
1776250285.7310505,18118,-1.1190000772476196
1776250288.5999184,18418,-0.30000001192092896
1776250292.33832,18718,-0.30000001192092896
1776250295.78704,19018,-0.30000001192092896
1776250298.792053,19318,-0.30000001192092896
1776250301.4319608,19618,-0.30000001192092896
1776250304.2946036,19918,-0.30000001192092896
1776250305.1611767,20027,-1.1090000867843628
1776250305.7514982,20104,1.9229999780654907
1776250308.2177336,20404,-0.30000001192092896
1776250310.7032607,20704,-0.30000001192092896
1776250313.038323,21004,-0.30000001192092896
1776250315.962265,21304,-0.30000001192092896
1776250318.5332568,21604,-0.30000001192092896
1776250319.86913,21764,1.8399999141693115
1776250320.8481698,21893,-1.1290000677108765
1776250323.4325314,22193,-0.30000001192092896
1776250326.1808267,22493,-0.30000001192092896
1776250329.2114592,22793,-0.30000001192092896
1776250332.7093797,23093,-0.30000001192092896
1776250334.3524559,23240,1.8529999256134033
1776250334.7512336,23282,1.9579999446868896
1776250337.1942484,23582,-0.30000001192092896
1776250339.6173143,23882,-0.30000001192092896
1776250340.0224304,23934,1.9479999542236328
1776250341.6099527,24135,-1.2010000944137573
1776250343.9414766,24435,-0.30000001192092896
1776250346.4010513,24735,-0.30000001192092896
1776250347.2117963,24831,1.903999924659729
1776250349.6617346,25131,-0.30000001192092896
1776250352.0803602,25431,-0.30000001192092896
1776250354.4856377,25731,-0.30000001192092896
1776250356.8188229,26031,-0.30000001192092896
1776250357.213821,26080,1.9509999752044678
1776250359.5217593,26380,-0.30000001192092896
1776250361.8499565,26680,-0.30000001192092896
1776250362.1120296,26713,1.9670000076293945
1776250362.227207,26727,1.9859999418258667
1776250364.5951688,27027,-0.30000001192092896
1776250367.1110406,27327,-0.30000001192092896
1776250369.41436,27627,-0.30000001192092896
1776250369.6430566,27656,1.9709999561309814
1776250369.8946471,27689,1.9670000076293945
1776250372.2094197,27989,-0.30000001192092896
1776250372.3338156,28004,1.9849998950958252
1776250374.2318006,28247,1.7569999694824219
1776250376.6045244,28547,-0.30000001192092896
1776250378.8995733,28847,-0.30000001192092896
1776250379.9273586,28979,1.8679999113082886
1776250380.9398887,29108,1.8709999322891235
1776250381.5370004,29182,1.9259999990463257
1776250383.8313804,29482,-0.30000001192092896
1776250384.0065112,29504,1.9779999256134033
1776250385.135662,29643,1.8609999418258667
