Wall time,Step,Value
1776246741.000386,40312,-0.0618000254034996
1776246743.7828126,40612,-0.0618000254034996
1776246746.4059124,40912,-0.0618000254034996
1776246749.148288,41212,-0.0618000254034996
1776246751.8066301,41512,-0.0618000254034996
1776246754.9990568,41812,-0.0618000254034996
1776246757.6287243,42112,-0.0618000254034996
1776246758.4728816,42216,0.047999974340200424
1776246759.4244199,42329,0.15734997391700745
1776246762.0696611,42629,0.15734997391700745
1776246764.8332675,42929,0.197549968957901
1776246765.8549993,43045,0.3562999665737152
1776246768.8561254,43345,0.3562999665737152
1776246771.6420944,43645,0.3562999665737152
1776246774.4947176,43945,0.3562999665737152
1776246777.911891,44245,0.3562999665737152
1776246779.0088122,44365,0.3568499684333801
1776246781.7682464,44665,0.24504998326301575
1776246784.477833,44965,0.24504998326301575
1776246784.730563,44997,0.25074997544288635
1776246784.8608282,45012,0.3649999797344208
1776246785.1523356,45043,0.4784499704837799
1776246786.1975727,45140,0.5885999798774719
1776246788.9645054,45440,0.5885999798774719
1776246791.8814151,45740,0.5885999798774719
1776246794.4919584,46040,0.5885999798774719
1776246795.8855932,46201,0.6955499649047852
1776246796.5346353,46276,0.6969999670982361
1776246799.3241847,46576,0.587649941444397
1776246802.0329509,46876,0.587649941444397
1776246802.8712711,46969,0.6979999542236328
1776246805.4658492,47269,0.5887999534606934
1776246808.555639,47569,0.5887999534606934
1776246811.3331187,47869,0.5887999534606934
1776246812.8711097,48031,0.6956999897956848
1776246815.7782161,48331,0.6956999897956848
1776246816.9612854,48445,0.6959999799728394
1776246820.139201,48745,0.6959999799728394
1776246822.0664313,48961,0.8001999855041504
1776246824.7285202,49261,0.686799943447113
1776246827.722281,49561,0.5725499987602234
1776246828.2373905,49598,0.5722499489784241
1776246831.2766705,49898,0.46209996938705444
1776246834.3595884,50198,0.46209996938705444
1776246836.951009,50487,0.5626499652862549
1776246837.87714,50595,0.5222499966621399
1776246840.517014,50895,0.4152999818325043
1776246843.1977754,51195,0.3040499687194824
1776246845.748532,51495,0.3040499687194824
